RelSpeed,InducedVertBreak,HorzBreak,SpinRate,Tilt,TaggedPitchType
87.1819,14.38265,-4.83126,2045.342795,11.15,Fastball
87.84622,21.74119,10.24571,2200.511334,1.0,Fastball
87.35602,19.03017,14.82997,2176.408546,1.15,Fastball
87.96588,17.11847,15.0752,2311.47122,1.3,Fastball
86.99718,21.67887,11.7382,2243.126279,1.0,Fastball
79.66067,3.18736,-0.87051,2526.768301,11.15,Cutter
88.70449,19.91336,13.68268,2294.613545,1.15,Fastball
77.66281,10.21501,23.50989,2119.729431,2.15,ChangeUp
78.38169,10.7939,23.58482,2224.96381,2.15,ChangeUp
81.5933,5.58363,-1.7385,2487.902614,11.15,Cutter
88.9237,21.69592,6.97764,2295.564469,12.45,Fastball
89.06553,19.83143,10.98166,2334.670675,1.0,Fastball
78.28764,16.69198,18.29214,2103.600096,1.45,ChangeUp
89.04037,18.23887,14.26013,2288.796674,1.15,Fastball
80.82507,6.1763,-1.42787,2538.521581,11.3,Cutter
80.85739,5.49146,0.45575,2493.208106,12.15,Cutter
87.2532,19.34737,14.11257,2242.720602,1.15,Fastball
80.81052,8.27304,1.15638,2470.051322,12.15,Cutter
88.65716,19.81836,14.4202,2331.45191,1.15,Fastball
73.58398,-12.20446,-14.38139,2785.706126,7.3,Curveball
87.11749,19.44603,8.23756,2324.051381,12.45,Fastball
87.45189,20.67135,13.20225,2359.497351,1.15,Fastball
79.54189,7.39276,-0.17484,2391.075842,12.0,Cutter
87.42237,23.32741,11.88209,2346.813426,1.0,Fastball
74.53282,-18.4669,-13.48737,2903.572146,7.0,Curveball
87.99131,18.59584,11.72194,2468.246191,1.15,Fastball
87.45263,20.16588,10.87548,2300.957224,1.0,Fastball
87.98889,19.67623,13.19331,2371.351343,1.15,Fastball
77.4252,11.18012,21.82907,2183.306381,2.15,ChangeUp
88.49518,20.64804,13.40642,2383.627446,1.15,Fastball
88.19413,20.57533,9.29123,2422.505644,12.45,Fastball
81.26208,6.88603,0.56575,2507.826658,12.15,Cutter
75.00091,-10.75371,-10.68308,2948.852799,7.15,Curveball
75.00864,7.02642,21.77505,2159.203637,2.3,ChangeUp
76.9672,10.1265,21.68544,2315.555625,2.15,ChangeUp
76.75933,14.76032,19.15749,2199.421422,1.45,ChangeUp
88.84239,22.61045,12.90493,2346.177472,1.0,Fastball
76.0866,4.58646,21.6334,2195.44599,2.45,ChangeUp
88.39082,19.9371,13.80032,2219.366081,1.15,Fastball
72.77131,-19.38737,-12.80083,2831.722643,7.0,Curveball
75.11817,5.32709,-15.31438,2684.777969,9.3,Slider
77.28692,16.16233,21.30907,2231.87522,1.45,ChangeUp
77.35322,17.37501,24.84285,2146.143935,2.0,ChangeUp
88.07215,22.35159,9.47894,2274.114123,12.45,Fastball
87.26607,19.23576,12.03953,2178.603289,1.15,Fastball
78.64741,4.4952,-5.16988,2492.114298,10.0,Cutter
87.50348,19.50005,14.37343,2303.010311,1.15,Fastball
88.31218,21.76895,14.79355,2341.822144,1.15,Fastball
87.72586,17.53678,14.5267,2319.648211,1.3,Fastball
72.30186,-16.66627,-12.05524,2881.540421,7.0,Curveball
87.91199,24.07753,15.97816,2389.227015,1.15,Fastball
74.90635,-18.47158,-10.66867,2939.355586,7.0,Curveball
76.26646,14.62154,18.56308,2103.742934,1.45,ChangeUp
77.63931,10.6213,19.39895,2094.640555,2.15,ChangeUp
79.83558,7.33154,-0.35571,2512.443127,12.0,Cutter
76.48075,12.73721,17.97647,2096.615703,2.0,ChangeUp
88.36427,20.0332,9.92465,2316.915908,1.0,Fastball
77.69657,7.21441,22.88777,2109.768233,2.3,ChangeUp
87.49415,19.84722,14.32276,2300.345074,1.15,Fastball
88.81558,25.11812,10.03276,2411.227386,12.45,Fastball
88.59498,20.1532,10.72134,2420.169699,1.0,Fastball
88.02635,21.32694,8.49579,2318.413019,12.45,Fastball
73.61476,-15.82359,-12.54012,2812.709269,7.15,Curveball
87.12402,20.95206,15.60036,2345.966595,1.15,Fastball
76.30135,12.47355,22.12793,2121.847299,2.15,ChangeUp
87.26934,22.87832,13.51839,2331.775201,1.0,Fastball
87.27461,22.92151,12.11233,2346.297866,1.0,Fastball
73.59137,-13.39808,-16.72954,2876.163097,7.3,Curveball
79.20722,4.41059,-1.99583,2619.871723,10.45,Cutter
77.05892,0.62559,-18.40757,2754.751331,8.45,Slider
76.6601,14.77308,20.75977,2060.960416,2.0,ChangeUp
88.1036,19.55702,8.59343,2323.188007,12.45,Fastball
75.36282,5.34626,21.42296,2073.90126,2.45,ChangeUp
88.4368,18.19761,14.29229,2298.933457,1.15,Fastball
87.73536,21.12895,7.13835,2304.215637,12.45,Fastball
76.22394,13.69182,19.01036,2091.246838,2.0,ChangeUp
86.76167,20.94056,14.56036,2258.982433,1.15,Fastball
80.10864,5.79386,-1.48815,2556.443373,11.15,Cutter
76.34806,5.54414,-14.16544,2580.352832,9.3,Slider
76.96281,10.81048,22.73545,2106.565928,2.15,ChangeUp
88.75949,19.16379,15.77532,2305.299997,1.3,Fastball
79.8469,4.57689,2.48221,2509.321919,1.15,Cutter
87.3975,20.51769,17.05025,2398.764369,1.3,Fastball
74.61448,13.21434,21.09403,2151.428073,2.0,ChangeUp
87.47317,21.2843,15.49359,2390.344117,1.15,Fastball
87.43618,22.08765,15.27552,2366.166557,1.15,Fastball
87.45833,21.40151,17.65288,2310.308399,1.3,Fastball
77.70241,11.30812,25.57868,2166.164328,2.15,ChangeUp
87.6175,23.08836,10.71938,2432.244486,1.0,Fastball
86.72768,13.51776,-18.14363,2091.562971,10.15,Fastball
88.77772,16.57544,-16.90375,2073.97322,10.3,Fastball
88.23071,12.08272,-21.98308,2091.880272,9.45,Fastball
89.7409,9.34556,-18.86879,2181.412328,9.45,Fastball
89.30061,16.56336,-18.41891,2159.131479,10.15,Fastball
87.96994,12.17449,-23.45045,2069.995761,9.45,Fastball
89.39667,17.2082,-18.06989,2258.137084,10.3,Fastball
82.60541,4.30421,-18.10556,1354.014505,9.15,ChangeUp
82.58617,-3.04992,-13.19477,1422.432734,8.15,ChangeUp
87.2835,10.81304,-22.70174,2169.177042,9.45,Fastball
88.89636,14.49001,-15.32229,2244.659233,10.15,Fastball
88.14808,11.30237,-20.08867,2276.842735,9.45,Fastball
87.76237,15.90391,-21.71434,2261.554782,10.0,Fastball
80.4343,1.54417,1.09551,2272.572218,3.0,Slider
81.83922,0.34083,2.99709,2317.39336,3.45,Slider
88.93614,14.19918,-21.75304,2234.051607,10.0,Fastball
88.55074,9.23713,-18.05395,2051.403347,9.45,Fastball
88.41368,10.49957,-17.7617,2176.711951,10.0,Fastball
88.96127,17.33761,-17.02938,2220.399892,10.3,Fastball
82.62327,0.74327,-0.38453,2242.733831,7.0,Slider
87.32232,14.48737,-20.87166,2149.434207,10.0,Fastball
88.03727,13.50438,-20.3147,2195.476852,10.0,Fastball
89.04141,17.09725,-17.56521,2250.333691,10.3,Fastball
81.57201,0.68862,1.09669,2251.899664,4.15,Slider
87.86172,9.08882,-19.94631,2156.396653,9.45,Fastball
82.15341,5.14532,-22.08604,1436.496787,9.15,ChangeUp
88.22535,20.08651,-18.43922,2215.141444,10.3,Fastball
88.24656,8.14819,-21.82584,2118.828745,9.3,Fastball
88.72557,12.97406,-18.97202,2250.717016,10.0,Fastball
87.46466,5.64189,-21.8606,2089.748886,9.15,Fastball
87.47309,16.37682,-17.64347,2198.494647,10.15,Fastball
89.09505,15.79958,-19.20962,2220.439145,10.15,Fastball
88.68256,14.47111,-17.06367,2162.304126,10.15,Fastball
87.40437,12.17906,-19.86198,2079.416575,10.0,Fastball
80.40078,9.15056,-10.93623,1485.844455,10.15,ChangeUp
88.05686,15.47587,-16.92572,2152.153401,10.15,Fastball
82.45193,5.16764,-16.59875,1512.522534,9.3,ChangeUp
87.93315,12.34182,-18.59914,2193.080383,10.0,Fastball
89.63986,17.43158,-17.28623,2268.562876,10.3,Fastball
89.02821,17.17938,-14.92717,2290.686796,10.3,Fastball
88.95314,15.37576,-21.62033,2313.741988,10.0,Fastball
88.51083,16.67438,-13.1606,2285.689445,10.45,Fastball
80.23183,5.78819,-15.5467,1382.150359,9.3,ChangeUp
88.53842,13.54469,-15.93154,2224.588067,10.15,Fastball
81.40493,1.28181,-13.63036,1625.765786,9.0,ChangeUp
85.7905,14.08831,-19.86938,2192.552049,10.0,Fastball
87.95794,13.95859,-18.60808,2287.624816,10.15,Fastball
87.75613,10.96032,-17.45816,2257.552731,10.0,Fastball
85.50073,12.79883,-17.78257,2152.376316,10.0,Fastball
88.25898,12.71453,-18.14678,2308.912819,10.0,Fastball
81.95715,4.51587,-1.73902,2115.470859,11.0,Slider
82.99631,1.89725,0.42862,2184.552112,2.3,Slider
83.14312,3.87567,2.33469,2165.338969,1.3,Slider
89.16203,10.5043,-17.71631,2247.824825,10.0,Fastball
89.25546,12.66627,-17.58761,2308.301717,10.0,Fastball
86.29326,13.68457,-15.49887,2136.089415,10.15,Fastball
86.80723,11.99721,-18.84206,2166.771404,10.0,Fastball
87.29202,13.48217,-20.18159,2099.420855,10.0,Fastball
87.74707,12.77497,-18.16166,2170.283452,10.0,Fastball
81.41628,3.19252,-15.50347,1306.692909,9.15,ChangeUp
88.83373,14.0702,-20.01489,2137.544852,10.0,Fastball
81.67729,8.50016,-16.10666,1409.340593,9.45,ChangeUp
82.81463,2.57244,-18.60847,1432.740082,9.0,ChangeUp
89.08286,18.44359,-15.2593,2246.860728,10.3,Fastball
90.84565,15.85513,-12.28816,2150.662214,10.45,Fastball
86.39134,6.41815,1.44406,2386.198624,12.3,Cutter
79.4939,-4.80059,11.69394,2412.169163,4.0,Slider
90.73064,13.94099,-14.01938,2004.965498,10.3,Fastball
91.82304,17.19635,-13.22764,2207.189526,10.45,Fastball
92.11275,15.45603,-13.3943,2235.35992,10.3,Fastball
91.17733,14.59257,-12.03607,2173.793485,10.3,Fastball
83.54634,7.57752,-11.39134,1395.002351,10.0,ChangeUp
92.17808,12.84024,-10.7817,1997.465699,10.3,Fastball
87.8531,8.68028,5.03331,2285.887148,1.15,Cutter
86.38431,7.02146,4.30851,2248.03885,1.15,Cutter
92.51727,15.06702,-13.02741,2290.338522,10.3,Fastball
91.04427,14.42843,-11.65186,2099.733857,10.45,Fastball
91.693,15.923,-10.18934,2046.510634,10.45,Fastball
86.71065,6.04933,-3.67929,2351.18676,10.45,Cutter
80.06451,-1.64213,15.2541,2369.935227,3.3,Slider
79.66216,-0.09547,15.46064,2361.660767,3.15,Slider
84.88865,8.00252,5.22626,2349.861916,1.15,Cutter
91.44725,14.48434,-11.9319,2092.229877,10.3,Fastball
85.56938,5.1824,-10.37115,1470.229617,9.45,ChangeUp
92.19809,16.91973,-11.21379,2192.914092,10.45,Fastball
90.6743,19.34966,-8.99422,2195.460847,11.0,Fastball
91.10023,17.53182,-13.7869,2225.453066,10.45,Fastball
91.36439,15.50859,-14.93414,2352.904777,10.3,Fastball
91.99018,14.96304,-16.74225,2174.657689,10.15,Fastball
91.60191,16.87158,-11.73442,2217.131718,10.45,Fastball
85.52794,5.90788,9.22867,2380.81993,2.15,Cutter
92.05185,12.11158,-14.02532,2170.371378,10.15,Fastball
86.415,4.95689,3.94036,2344.475906,1.3,Cutter
85.14535,10.13001,-9.40225,1532.842065,10.3,ChangeUp
91.669,18.44099,-14.70564,2304.027056,10.45,Fastball
91.77625,16.79717,-13.38013,2235.760636,10.45,Fastball
91.46155,13.53209,-14.54044,2172.648978,10.15,Fastball
92.21531,19.80119,-10.03213,2301.560795,11.0,Fastball
92.37686,15.6293,-11.90501,2104.809263,10.45,Fastball
86.21899,5.6276,5.82004,2331.758233,1.45,Cutter
91.50253,16.78477,-15.3667,2370.602654,10.3,Fastball
92.30715,14.53505,-11.29512,2080.788043,10.45,Fastball
91.70129,16.13556,-9.4254,2088.752065,11.0,Fastball
92.05894,13.60894,-14.1032,2248.751736,10.3,Fastball
85.03279,6.15638,5.22827,2449.311834,1.3,Cutter
91.32,13.72698,-15.03741,2032.675921,10.15,Fastball
79.02138,-1.84441,18.49139,2438.479563,3.15,Slider
85.60658,6.5065,6.08737,2416.255464,1.45,Cutter
91.24299,18.21954,-11.27694,2163.579225,11.0,Fastball
76.34309,-3.64831,16.16883,2334.599091,3.3,Slider
85.83164,5.94721,7.65579,2428.834222,2.0,Cutter
92.07964,16.67028,-9.10426,2201.537497,11.0,Fastball
77.35704,-4.9217,14.90753,2220.282818,3.45,Slider
90.0828,13.80292,-1.20709,2422.516495,11.45,Fastball
91.1376,18.91564,-9.46985,2132.956235,11.0,Fastball
85.07732,5.23107,1.00012,2373.297594,12.3,Cutter
91.50931,13.63678,-8.20682,2184.753027,11.0,Fastball
91.18065,16.90501,-10.90386,2209.50089,10.45,Fastball
82.49204,5.53268,-13.28379,1574.761481,9.3,ChangeUp
83.39318,6.72815,11.61064,2361.106486,2.15,Cutter
88.70368,14.12328,-8.26575,2160.437258,11.0,Fastball
89.44071,16.35434,-8.27323,2159.18317,11.0,Fastball
86.02025,6.02126,4.21181,2387.263216,1.3,Cutter
91.06342,17.60048,-7.60284,2225.055985,11.15,Fastball
89.08096,16.09509,-12.34603,2104.786554,10.45,Fastball
90.086,15.79725,-10.38343,2065.54715,10.45,Fastball
91.41858,17.94784,-14.14654,2382.785452,10.45,Fastball
85.45921,5.96788,4.91796,2295.100417,1.3,Cutter
91.26081,14.69284,-11.96879,2133.342295,10.3,Fastball
90.6141,11.76111,-17.90777,2262.364677,10.0,Fastball
87.93501,17.50072,-12.97001,2239.381334,10.45,Fastball
85.16745,8.18209,5.64118,2370.89308,1.15,Cutter
82.723,7.81977,-10.74402,1490.966557,10.0,ChangeUp
84.3666,9.47229,4.37729,2356.477444,1.0,Cutter
90.97465,16.95406,-11.30512,2215.15186,10.45,Fastball
90.43126,11.83461,-7.56036,2178.806602,10.45,Fastball
90.02222,15.79532,-11.01134,2169.414458,10.45,Fastball
83.67609,5.77288,3.85918,2370.289766,1.3,Cutter
84.47665,2.82354,8.48371,2346.277029,2.45,Cutter
86.60945,19.04985,-7.30544,2258.30153,11.15,Fastball
87.12711,18.75958,-8.2252,2204.302695,11.15,Fastball
88.40102,19.92572,-7.12863,2242.253951,11.15,Fastball
89.25642,21.79277,-10.29945,2206.429647,11.0,Fastball
87.04976,21.68962,-10.26304,2179.05206,11.0,Fastball
86.3125,20.70848,-11.11312,2196.14573,11.0,Fastball
87.69287,21.72052,-7.60615,2180.628823,11.15,Fastball
88.41683,22.07777,-9.27847,2193.19273,11.15,Fastball
88.6497,19.79537,-9.50359,2275.877976,11.0,Fastball
88.3287,20.34316,-9.83666,2200.309806,11.0,Fastball
87.36643,21.57592,-8.95552,2291.876133,11.15,Fastball
81.79805,8.58268,2.98036,2261.224711,12.45,Cutter
87.67048,18.45938,-13.553,2266.449989,10.45,Fastball
88.34777,21.79328,-9.66154,2141.056828,11.15,Fastball
78.98252,-1.37114,6.37839,2318.94344,3.45,Slider
82.65917,10.60713,2.75358,2164.349082,12.3,Cutter
